S.No,Product_Code,Cust_ID,IPC_Code,gram/product,Product_Type,Spring_Type,Material_Code,Material_Type,Material_Name,Grade,Finishing,Wire_dia,Coiling/Forming,Stress_Relieving,Coating,Grinding,Plating,Blackening
71,AMPS INDUSTRY-COMPRESSION SPRING-0.4X4X8X10.5-0.40mm,C_012,COMPRESSION SPRING-0.4X4X8X10.5-0.40mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Bright-0.40mm,Coil,SS Stainless Steel,304,Bright,0.40mm,Coiling,Stress_Relieving,,,,
72,AVALON TECHNOLOGY-TORSION SPRING-1.00mm-1.00mm,C_013,TORSION SPRING-1.00mm-1.00mm,,Spring,TORSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-1.00mm,Coil,SS Stainless Steel,304,Soap Coated,1.00mm,Forming,Stress_Relieving,,,,
73,MANDO-TENSION SPRING-GM743100D3-2.20mm,C_014,TENSION SPRING-GM743100D3-2.20mm,,Spring,TENSION SPRING,Coil-ST Spring Steel-DH-2.20mm,Coil,ST Spring Steel,DH,,2.20mm,Coiling,Stress_Relieving,,,,
74,FEAM TECH-TENSION SPRING-1.60mm-1.60mm,C_015,TENSION SPRING-1.60mm-1.60mm,,Spring,TENSION SPRING,Coil-ST Spring Steel-DH-1.60mm,Coil,ST Spring Steel,DH,,1.60mm,Coiling,Stress_Relieving,,,,
75,APPASWAMY-WIRE SPRING-1.00mm-1.00mm,C_016,WIRE SPRING-1.00mm-1.00mm,,Spring,WIRE FORM SPRING,Coil-SS Stainless Steel-304-Soap Coated-1.00mm,Coil,SS Stainless Steel,304,Soap Coated,1.00mm,Forming,Stress_Relieving,,,,
76,I.MATICS-BLISTER SPRING-SS 0.90mm-0.90mm,C_017,BLISTER SPRING-SS 0.90mm-0.90mm,,Spring,WIRE FORM SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.90mm,Coil,SS Stainless Steel,304,Soap Coated,0.90mm,Forming,Stress_Relieving,,,,
77,AVASARALA-VE10141-1.60mm,C_018,VE10141-1.60mm,,Spring,COMPRESSION SPRING,Coil-ST Spring Steel-DH-1.60mm,Coil,ST Spring Steel,DH,,1.60mm,Coiling,Stress_Relieving,,,,
78,DELFINGEN-F.L * Wire Dia * Outer Dia-1200*1.5*15-1.50mm,C_019,F.L * Wire Dia * Outer Dia-1200*1.5*15-1.50mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-1.50mm,Coil,SS Stainless Steel,304,Soap Coated,1.50mm,Coiling,Stress_Relieving,,Grinding,,
79,DELFINGEN-F.L * Wire Dia * Outer Dia-740*0.70*2.85-0.70mm,C_019,F.L * Wire Dia * Outer Dia-740*0.70*2.85-0.70mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.70mm,Coil,SS Stainless Steel,304,Soap Coated,0.70mm,Coiling,Stress_Relieving,,Grinding,,
80,DELFINGEN-F.L * Wire Dia * Outer Dia-760*0.70*2.80-0.70mm,C_019,F.L * Wire Dia * Outer Dia-760*0.70*2.80-0.70mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.70mm,Coil,SS Stainless Steel,304,Soap Coated,0.70mm,Coiling,Stress_Relieving,,Grinding,,
